-15.082,27.851,28.314,-13.224,23.459,28.014,4.7785
28.367,-0.95362,13.17,29.616,-2.9912,15.095,3.0682
11.752,22.23,-29.949,12.406,21.647,-28.82,1.4289
-4.6655,-3.1868,-28.765,-2.8263,-2.2036,-29.965,2.4062
-9.9876,-10.389,0.76992,-10.593,-11.279,1.8688,1.5389
24.81,24.567,5.7094,24.55,24.012,5.5923,0.62424
-0.14263,20.296,3.6256,1.4795,19.357,4.8789,2.2546
-1.8535,-2.0279,39.922,-4.1398,-3.8009,40.405,2.9331
-33.506,9.4658,-38.62,-31.678,6.0535,-36.993,4.1993
-36.767,-7.2613,-5.2752,-35.533,-8.9692,-8.3015,3.6874
9.8972,23.316,-27.327,12.13,21.126,-28.09,3.2196
-44.399,-14.672,-25.421,-43.494,-14.428,-25.483,0.93946
8.6189,-0.25343,-21.533,8.5956,-0.30342,-21.459,0.092172
-11.227,11.028,-15.683,-11.847,8.3966,-16.858,2.9479
18.074,-1.2503,34.817,19.246,-4.2004,35.239,3.2024
-10.232,9.0297,30.384,-10.227,9.0364,30.382,0.0090547
-28.825,-13.048,-5.4908,-28.825,-13.089,-6.0455,0.5562
-23.56,16.177,-20.594,-23.017,11.768,-20.875,4.4515
27.569,21.84,-16.973,27.899,22.256,-17.121,0.55181
20.358,5.2989,46.356,22.766,4.8142,46.8,2.4959
