27,8,0
201.44,186.97,201.18
398.18,409.93,194.19
211.28,211.35,209.31
208.4,210.01,334.27
205.51,208.67,459.23
209.98,336.33,210.62
207.09,334.99,335.58
204.2,333.65,460.54
208.67,461.32,211.93
205.79,459.98,336.89
202.9,458.64,461.85
336.24,212.62,212.21
333.36,211.28,337.17
330.47,209.94,462.13
334.94,337.61,213.52
332.05,336.27,338.48
329.17,334.93,463.44
333.63,462.59,214.83
330.75,461.25,339.79
327.86,459.91,464.75
461.2,213.9,215.11
458.32,212.56,340.07
455.43,211.22,465.03
459.9,338.88,216.42
457.01,337.54,341.38
454.13,336.2,466.34
458.6,463.87,217.73
455.71,462.53,342.69
452.82,461.19,467.65
208.19,209.63,448.16
204.58,206.21,573.06
200.97,202.78,697.96
208.67,334.59,451.61
205.06,331.16,576.5
201.46,327.73,701.4
209.15,459.54,455.05
205.55,456.11,579.95
201.94,452.68,704.85
333.13,209.05,451.75
329.53,205.62,576.65
325.92,202.19,701.55
333.62,334,455.2
330.01,330.57,580.09
326.41,327.15,704.99
334.1,458.95,458.64
330.5,455.53,583.54
326.89,452.1,708.44
458.08,208.47,455.34
454.48,205.04,580.24
450.87,201.61,705.14
458.57,333.42,458.78
454.96,329.99,583.68
451.35,326.56,708.58
459.05,458.37,462.23
455.44,454.94,587.13
451.84,451.51,712.03
208.32,448.3,208.96
207.02,448.61,333.95
205.73,448.93,458.94
209.92,573.29,208.66
208.63,573.6,333.65
207.34,573.92,458.64
211.53,698.28,208.35
210.24,698.59,333.35
208.94,698.91,458.34
333.3,446.69,210.25
332.01,447,335.25
330.71,447.32,460.24
334.9,571.68,209.95
333.61,571.99,334.95
332.32,572.31,459.94
336.51,696.67,209.65
335.22,696.98,334.64
333.93,697.3,459.64
458.28,445.08,211.55
456.99,445.39,336.54
455.7,445.71,461.54
459.89,570.07,211.25
458.59,570.38,336.24
457.3,570.7,461.23
461.49,695.06,210.95
460.2,695.37,335.94
458.91,695.69,460.93
210.86,448.41,451.47
212.21,448.77,576.46
213.56,449.12,701.45
210.87,573.41,451.11
212.22,573.76,576.1
213.58,574.12,701.09
210.89,698.4,450.75
212.24,698.76,575.74
213.59,699.12,700.74
335.85,448.39,450.11
337.2,448.75,575.1
338.56,449.11,700.1
335.87,573.39,449.75
337.22,573.75,574.75
338.57,574.1,699.74
335.88,698.39,449.4
337.23,698.75,574.39
338.58,699.1,699.38
460.85,448.38,448.76
462.2,448.74,573.75
463.55,449.09,698.74
460.86,573.38,448.4
462.21,573.73,573.39
463.56,574.09,698.39
460.88,698.37,448.04
462.23,698.73,573.04
463.58,699.09,698.03
449.77,209.93,209.49
449.39,213.17,334.45
449.01,216.42,459.41
450.93,334.88,206.25
450.55,338.13,331.21
450.17,341.37,456.17
452.09,459.84,203.01
451.71,463.08,327.97
451.33,466.33,452.93
574.77,208.78,209.91
574.39,212.03,334.86
574.01,215.27,459.82
575.93,333.74,206.67
575.55,336.98,331.62
575.17,340.23,456.58
577.09,458.69,203.42
576.71,461.94,328.38
576.33,465.18,453.34
699.76,207.64,210.32
699.38,210.88,335.28
699,214.13,460.23
700.92,332.59,207.08
700.54,335.84,332.04
700.16,339.08,456.99
702.08,457.55,203.84
701.7,460.79,328.79
701.32,464.04,453.75
450.22,209.26,451.75
453.58,210.91,576.69
456.95,212.56,701.63
452.12,334.23,450.05
455.48,335.88,574.99
458.84,337.53,699.94
454.02,459.21,448.35
457.38,460.85,573.29
460.74,462.5,698.24
575.16,207.31,448.41
578.52,208.96,573.35
581.88,210.61,698.3
577.06,332.29,446.71
580.42,333.93,571.65
583.78,335.58,696.6
578.96,457.26,445.01
582.32,458.91,569.95
585.68,460.56,694.9
700.1,205.37,445.07
703.46,207.01,570.01
706.82,208.66,694.96
702,330.34,443.37
705.36,331.99,568.32
708.72,333.64,693.26
703.9,455.31,441.67
707.26,456.96,566.62
710.62,458.61,691.56
450.07,448.21,210.24
447.84,444.57,335.17
445.61,440.92,460.1
450.61,573.15,213.89
448.38,569.51,338.82
446.15,565.87,463.75
451.15,698.09,217.55
448.92,694.45,342.47
446.7,690.81,467.4
575.04,447.6,212.45
572.82,443.96,337.38
570.59,440.32,462.31
575.59,572.54,216.11
573.36,568.9,341.03
571.13,565.26,465.96
576.13,697.48,219.76
573.9,693.84,344.69
571.67,690.2,469.61
700.02,446.99,214.67
697.79,443.35,339.59
695.56,439.71,464.52
700.56,571.93,218.32
698.34,568.29,343.25
696.11,564.65,468.17
701.11,696.88,221.97
698.88,693.23,346.9
696.65,689.59,471.83
450.33,449.84,448.56
447.59,450.74,573.53
444.84,451.65,698.5
448.34,574.82,447.61
445.59,575.72,572.58
442.85,576.63,697.55
446.34,699.8,446.67
443.6,700.7,571.64
440.85,701.61,696.6
575.29,451.85,451.29
572.55,452.76,576.26
569.8,453.66,701.23
573.3,576.83,450.35
570.55,577.74,575.32
567.8,578.64,700.28
571.3,701.81,449.4
568.56,702.71,574.37
565.81,703.62,699.34
700.25,453.87,454.03
697.5,454.77,579
694.76,455.67,703.96
698.25,578.84,453.08
695.51,579.75,578.05
692.76,580.65,703.02
696.26,703.82,452.13
693.51,704.73,577.1
690.77,705.63,702.07
